Text,Language
Gordon Plotkin and Ehud Shapiro laid the initial theoretical foundation for inductive machine learning in a logical setting.,English
[64][65][66] Shapiro built their first implementation (Model Inference System) in 1981: a Prolog program that inductively inferred logic programs from positive and negative examples.,English
"[67] The term inductive here refers to philosophical induction, suggesting a theory to explain observed facts, rather than mathematical induction, proving a property for all members of a well-ordered set.",English
"Performing machine learning involves creating a model, which is trained on some training data and then can process additional data to make predictions.",English
Various types of models have been used and researched for machine learning systems.,English
"Artificial neural networks (ANNs), or connectionist systems, are computing systems vaguely inspired by the biological neural networks that constitute animal brains.",English
"Such systems ""learn"" to perform tasks by considering examples, generally without being programmed with any task-specific rules.",English
"An ANN is a model based on a collection of connected units or nodes called ""artificial neurons"", which loosely model the neurons in a biological brain.",English
"Each connection, like the synapses in a biological brain, can transmit information, a ""signal"", from one artificial neuron to another.",English
An artificial neuron that receives a signal can process it and then signal additional artificial neurons connected to it.,English
"In common ANN implementations, the signal at a connection between artificial neurons is a real number, and the output of each artificial neuron is computed by some non-linear function of the sum of its inputs.",English
"The connections between artificial neurons are called ""edges"".",English
Artificial neurons and edges typically have a weight that adjusts as learning proceeds.,English
The weight increases or decreases the strength of the signal at a connection.,English
Artificial neurons may have a threshold such that the signal is only sent if the aggregate signal crosses that threshold.,English
"Typically, artificial neurons are aggregated into layers.",English
Different layers may perform different kinds of transformations on their inputs.,English
"Signals travel from the first layer (the input layer) to the last layer (the output layer), possibly after traversing the layers multiple times.",English
The original goal of the ANN approach was to solve problems in the same way that a human brain would.,English
"However, over time, attention moved to performing specific tasks, leading to deviations from biology.",English
"Artificial neural networks have been used on a variety of tasks, including computer vision, speech recognition, machine translation, social network filtering, playing board and video games and medical diagnosis.",English
Deep learning consists of multiple hidden layers in an artificial neural network.,English
This approach tries to model the way the human brain processes light and sound into vision and hearing.,English
Some successful applications of deep learning are computer vision and speech recognition.,English
[68] Decision tree learning uses a decision tree as a predictive model to go from observations about an item (represented in the branches) to conclusions about the item's target value (represented in the leaves).,English
"It is one of the predictive modeling approaches used in statistics, data mining, and machine learning.",English
"Tree models where the target variable can take a discrete set of values are called classification trees; in these tree structures, leaves represent class labels and branches represent conjunctions of features that lead to those class labels.",English
Decision trees where the target variable can take continuous values (typically real numbers) are called regression trees.,English
"In decision analysis, a decision tree can be used to visually and explicitly represent decisions and decision making.",English
"In data mining, a decision tree describes data, but the resulting classification tree can be an input for decision making.",English
"Support vector machines (SVMs), also known as support vector networks, are a set of related supervised learning methods used for classification and regression.",English
"Given a set of training examples, each marked as belonging to one of two categories, an SVM training algorithm builds a model that predicts whether a new example falls into one category or the other.",English
"[69]  An SVM training algorithm is a non-probabilistic, binary, linear classifier, although methods such as Platt scaling exist to use SVM in a probabilistic classification setting.",English
"In addition to performing linear classification, SVMs can efficiently perform a non-linear classification using what is called the kernel trick, implicitly mapping their inputs into high-dimensional feature spaces.",English
Regression analysis encompasses a large variety of statistical methods to estimate the relationship between input variables and their associated features.,English
"Its most common form is linear regression, where a single line is drawn to best fit the given data according to a mathematical criterion such as ordinary least squares.",English
"The latter is often extended by regularization (mathematics) methods to mitigate overfitting and bias, as in ridge regression.",English
"When dealing with non-linear problems, go-to models include polynomial regression (for example, used for trendline fitting in Microsoft Excel[70]), logistic regression (often used in statistical classification) or even kernel regression, which introduces non-linearity by taking advantage of the kernel trick to implicitly map input variables to higher-dimensional space.",English
"A Bayesian network, belief network, or directed acyclic graphical model is a probabilistic graphical model that represents a set of random variables and their conditional independence with a directed acyclic graph (DAG).",English
"For example, a Bayesian network could represent the probabilistic relationships between diseases and symptoms.",English
"Given symptoms, the network can be used to compute the probabilities of the presence of various diseases.",English
Efficient algorithms exist that perform inference and learning.,English
"Bayesian networks that model sequences of variables, like speech signals or protein sequences, are called dynamic Bayesian networks.",English
Generalizations of Bayesian networks that can represent and solve decision problems under uncertainty are called influence diagrams.,English
"A genetic algorithm (GA) is a search algorithm and heuristic technique that mimics the process of natural selection, using methods such as mutation and crossover to generate new genotypes in the hope of finding good solutions to a given problem.",English
"In machine learning, genetic algorithms were used in the 1980s and 1990s.",English
"[71][72] Conversely, machine learning techniques have been used to improve the performance of genetic and evolutionary algorithms.",English
"[73] Usually, machine learning models require a lot of data in order for them to perform well.",English
"Usually, when training a machine learning model, one needs to collect a large, representative sample of data from a training set.",English
"Data from the training set can be as varied as a corpus of text, a collection of images, and data collected from individual users of a service.",English
Overfitting is something to watch out for when training a machine learning model.,English
Trained models derived from biased data can result in skewed or undesired predictions.,English
Algorithmic bias is a potential result from data not fully prepared for training.,English
"Federated learning is an adapted form of distributed artificial intelligence to training machine learning models that decentralizes the training process, allowing for users' privacy to be maintained by not needing to send their data to a centralized server.",English
This also increases efficiency by decentralizing the training process to many devices.,English
"For example, Gboard uses federated machine learning to train search query prediction models on users' mobile phones without having to send individual searches back to Google.",English
"[74] There are many applications for machine learning, including: In 2006, the media-services provider Netflix held the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%.",English
A joint team made up of researchers from AT&T Labs-Research in collaboration with the teams Big Chaos and Pragmatic Theory built an ensemble model to win the Grand Prize in 2009 for $1 million.,English
"[76] Shortly after the prize was awarded, Netflix realized that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly.",English
[77] In 2010 The Wall Street Journal wrote about the firm Rebellion Research and their use of machine learning to predict the financial crisis.,English
"[78] In 2012, co-founder of Sun Microsystems, Vinod Khosla, predicted that 80% of medical doctors' jobs would be lost in the next two decades to automated machine learning medical diagnostic software.",English
"[79] In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognized influences among artists.",English
[80] In 2019 Springer Nature published the first research book created using machine learning.,English
"[81] Although machine learning has been transformative in some fields, machine-learning programs often fail to deliver expected results.",English
"[82][83][84] Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems.",English
"[85] In 2018, a self-driving car from Uber failed to detect a pedestrian, who was killed after a collision.",English
[86] Attempts to use machine learning in healthcare with the IBM Watson system failed to deliver even after years of time and billions of dollars invested.,English
[87][88] Machine learning has been used as a strategy to update the evidence related to systematic review and increased reviewer burden related to the growth of biomedical literature.,English
"While it has improved with training sets, it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research themselves.",English
[89] Machine learning approaches in particular can suffer from different data biases.,English
A machine learning system trained on current customers only may not be able to predict the needs of new customer groups that are not represented in the training data.,English
"When trained on man-made data, machine learning is likely to pick up the same constitutional and unconscious biases already present in society.",English
[90] Language models learned from data have been shown to contain human-like biases.,English
[91][92] Machine learning systems used for criminal risk assessment have been found to be biased against black people.,English
"[93][94] In 2015, Google photos would often tag black people as gorillas,[95] and in 2018 this still was not well resolved, but Google reportedly was still using the workaround to remove all gorillas from the training data, and thus was not able to recognize real gorillas at all.",English
[96] Similar issues with recognizing non-white people have been found in many other systems.,English
"[97] In 2016, Microsoft tested a chatbot that learned from Twitter, and it quickly picked up racist and sexist language.",English
"[98] Because of such challenges, the effective use of machine learning may take longer to be adopted in other domains.",English
"[99] Concern for fairness in machine learning, that is, reducing bias in machine learning and propelling its use for human good is increasingly expressed by artificial intelligence scientists, including Fei-Fei Li, who reminds engineers that ""There’s nothing artificial about AI...It’s inspired by people, it’s created by people, and—most importantly—it impacts people.",English
"It is a powerful tool we are only just beginning to understand, and that is a profound responsibility.”[100] Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set.",English
"In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model.",English
"In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.",English
"[101] In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively.",English
"Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR).",English
"However, these rates are ratios that fail to reveal their numerators and denominators.",English
The total operating characteristic (TOC) is an effective method to express a model's diagnostic ability.,English
"TOC shows the numerators and denominators of the previously mentioned rates, thus TOC provides more information than the commonly used receiver operating characteristic (ROC) and ROC's associated area under the curve (AUC).",English
[102] Machine learning poses a host of ethical questions.,English
"Systems which are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitizing cultural prejudices.",English
"[103] For example, using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants against similarity to previous successful applicants.",English
[104][105] Responsible collection of data and documentation of algorithmic rules used by a system thus is a critical part of machine learning.,English
The evolvement of AI systems raises a lot questions in the realm of ethics and morality.,English
"AI can be well equipped in making decisions in certain fields such technical and scientific which rely
heavily on data and historical information.",English
These decisions rely on objectivity and logical reasoning.,English
"[106] Because human languages contain biases, machines trained on language corpora will necessarily also learn these biases.",English
"[107][108] Other forms of ethical challenges, not related to personal biases, are more seen in health care.",English
There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines.,English
"This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increasing profits.",English
"For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes.",English
"There is huge potential for machine learning in health care to provide professionals a great tool to diagnose, medicate, and even plan recovery paths for patients, but this will not happen until the personal biases mentioned previously, and these ""greed"" biases are addressed.",English
"[109] Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of non-linear hidden units.",English
"[110] By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI.",English
"[111] OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months.",English
"[112][113] Software suites containing a variety of machine learning algorithms include the following: 
.we're all looking for quick ways to become more fluent in english i know i understand what happens is that there are just a few words circling our brain and we need to make this entire conversation using just awesome amazing cool or epic so how about we learn some smart new english words that you can use in your daily life and elevate your vocabulary in minutes.",English
so today we're going to learn 10 new smart words their meanings root words and example sentences so let's get going  hey everyone this is  and you're watching.,English
and in this video i'm gonna give you 10 smart words for daily use and at the end of this video.,English
i'm also going to give you a smart tip to sound really fluent smart word number.,English
one is swamped swamped means drowning or flooding but swamped is often used in the context of work like i'm swamped with work i have too much work to do i've been swamped with work this entire week i've barely had time to breathe now let's look at the root of this word.,English
swamp is a piece of wetland and if somebody steps in the wrong place on a swamp they could easily drown and the verb form of swamp means to sink so here's how you can use this word.,English
let's say you have a lot of assignments and you have a test coming up and your friends come to you and they say.,English
hey why don't you hang out with us you can say to them i'm so sorry but i'm swamped with work or i'm swamped some other words that you can use in place of swamped are i've got too much to do.,English
there's too much on my plate i'm drowning in work.,English
i'm deluged with assignments smart word number two is catch-22 now i'm sure you've heard this word before catch-22 means an impossible situation in which you can't do one thing unless you've done the other and you can't do the other because you haven't done the first have.,English
i confused you so let me give you some examples a catch-22 situation is when you don't get a job without having work experience.,English
but you can't get experience until you get a job catch-22 was coined by joseph heller in his famous book of the same name catch-22 when he was describing some contradictory rules that were applicable to soldiers during world war two.,English
another example of catch-22 is you need a bank loan because you don't have enough.,English
money but you wouldn't get that bank loan unless you prove to the bank that you have enough money so next time you're stuck in a tricky situation remember.,English
to use the word catch-22.,English
and get these admiring looks from your friends other words that you can use in place of catch-22 are paradox or dilemma smart word.,English
number three is suave suave suave means to be sophisticated to be polite poised cool and.,English
well-mannered the word suave has several different origins but one very interesting  origin of the word is which means pleasant or sweet tasting example.,English
he is so poised and suave especially in front of the ladies or barack obama is so suave and polished now remember when you're at a party next time and you see this person who's so.,English
well-mannered and cultured and sophisticated.,English
don't forget to say hey who's that suave guy right out there in the corner using this word will instantly make your vocabulary.,English
very suave so smart word number four is atrocious atrocious the word atrocious means something really bad horrible terrible cruel appalling offensive atrocious has a latin root called .which means fear cruel or terrible some examples of the word atrocious are the recent rape incidents in delhi were atrocious or prisoners are treated.,English
in an atrocious manner sometimes in prisons atrocious is also used in day to day life to talk about some common wrong doing and you want to exaggerate it.,English
for example his table manners were atrocious or her dress sense is so atrocious or his grammar is atrocious.,English
so the next time you hear of a horrific act on the news remember to.,English
"remark and say that this is an atrocious act smart word number 5 is stupendous, stupendous, stupendous, means amazing astonishing.",English
now we often use the word awesome here's another word that you can use in  place of awesome stupendous for example today i got a stupendous score on my test which means i got an a very high score or.,English
i got a near-perfect score the word stupendous has classical latin roots from the word which means.,English
to be stunned so stupendous is used to describe something that is stunningly good for example she looks stupendous in that dress or what a stupendous view from this balcony or i'm reading this stupendous book that i can't put down how about you go and tell.,English
your friends that is this stupendous channel for students and some other words that you can use instead of stupendous are incredible fantastic or exceptionally good ok so before we continue with the balanced five words on this video remember to put a comment under this video.,English
to tell me which of these ten words was your favorite smart word number six is in a fix in a fix means to be in a troublesome situation for example boy i'm in a fix because i've made plans with two different friends for this evening.,English
i've lost my phone and i'm in a fix or our bus broke down this morning and i'm in a fix my friend always turns to me for help when he's in a fix and when the going is good he forgets about.,English
me so the next time you get math homework from school for example and if you've left your math book in school then you can tell your friends that you're in a real fix now you may think that the word fix has something to do with repairing something.,English
but no in a fix means to be in a troublesome situation other words that you can use instead of in a fix are i'm in a soup or i'm in a mess or i'm in a spot of bother or just i'm in a spot smart word number 7 is flummox flummox means to confuse someone.,English
so much that they forget what to do now confused tends to be an overused word so instead of that why don't you use flummox for example the boy looked completely .flummoxed when the teacher asked him a question in class or the dog was flummoxed looking at his own reflection in the mirror or the tourist was flummoxed by the different customs that.,English
he encountered during his travels or in an interview when she was asked why should we hire you she looked completely flummoxed so next time if you get confused on any questions for example in an examination then you.,English
can always say that because i hadn't prepared very well for the exam i was flummoxed by some of the questions other words that you can use instead of flummoxed are bewildered puzzled or perplexed smart word number eight is rendezvous rendezvous rendezvous.,English
is a very french way of saying meeting or date for example i have a rendezvous with my friends over lunch on saturday or i'm planning to rendezvous with my friends at the mall for movies rendezvous can be used both as a noun or as a verb for example.,English
i have a rendezvous with my friends this evening or i'm going to rendezvous with my friends tomorrow.,English
in france earlier rendezvous was used by the army to indicate a meeting place for the troops now there's something slightly exciting and secretive about the word rendezvous even now so while you can use rendezvous for any meeting.,English
in general but it won't be very appropriate for an official meeting so if you have a date perhaps you can certainly call that a rendezvous smart word number 9 is obtuse obtuse obtuse is an insult you would use it when you're trying to call someone dumb or unintelligen.t or dim-witted now you've heard the word obtuse in geometry obtuse angle and acute angle so an obtuse angle is an angle greater than 90 degrees but less than 180 degrees.,English
and an acute angle is this sharp angle less than 90 degrees so acute as a word is used to denote sharp and therefore also mentally sharp and obtuse is denoting blunt and .therefore also a little slow in the mind so example sentences with obtuse are the man was so obtuse that he gave away his password to a fake caller or the obtuse child.,English
wasn't able.,English
to answer a single question on the test or the obtuse man had a hard time understanding even basic instructions now suppose in your situation in daily life your boyfriend or your girlfriend is angry with you and you don't know why so you can.,English
say to them maybe i'm being obtuse but i don't know why you're so upset smart word number 10 is sluggish sluggish sluggish means to move in  slow manner to be kind of slower paced.,English
than usual to look a bit tired and lacking.,English
in energy example a heavy lunch makes me very in the afternoon sluggish has roots from the word which means a slow person and a slug is an animal that moves around really very slowly like a snail examples.,English
the economy has been very sluggish this year or the match picked up after a sluggish start.,English
or business has been sluggish this quarter you can use it in your daily life if you're feeling very tired one day you can tell your mom or you can tell.,English
your friends i'm feeling very sluggish.,English
today i could do with a energy drink other words that you can use in place of sluggish could be lethargic or dragging my feet so those were the 10 smart words and before.,English
i give you that secret tip to sound very fluent i want to remind you that in.,English
case you're looking for smart words to use on a telephone call then i'm putting a link to a video.,English
down in the description box for that and now the secret tip the secret tip to sound fluent is to use not more than one smart word or sentence i know sometimes.,English
we get very excited because.,English
we've learnt a whole lot of these smart words and we tend to stuff two three four of them in one sentence that doesn't sound natural.,English
so one at a time be sure that you're pronouncing .the word in the right manner go on to google and type the word and in the search right on top you'll see a little speaker icon click on that speaker.,English
and hear the pronunciation once or twice.,English
and you're ready to go and if you've liked this video don't forget to give us a thumbs up with a comment.,English
for me under it telling me which of these 10 words what's your favorite and also.,English
if you haven't already press the subscribe button and the bell icon right next to it and happy watching.,English
hey guys welcome to my channel in this video.,English
i'm gonna give you top 50 english phrases that you can use in your everyday life.,English
so if you are just about to embark on your journey.,English
"to an english-speaking country, you can totally use this.",English
phrases if you have been learning english for a while and you want to resume learning.,English
this is the best video to start with so let's go 50 phrases in english in hopefully 10 minutes.,English
phrase number one this is another way to ask.,English
how are you?,English
how is it going?,English
how's it going?.,English
so you meet someone and you time how is it going?.,English
phrase number two when you haven't seen somebody for a while you tell him a long time no see so that means that you haven't seen this person maybe weeks or months a long time no see phrase number.,English
three if you want to ask you what have you been doing.,English
you ask what have you been up to so what was going on in your life?.,English
what have you been up to raise them before if everything is going?,English
well you can just answer can't complain everything is really cool.,English
"can't complain next phrase somebody tells you something and you haven't really mentioned it in the conversation like they guess somehow that you have a new job, and you ask him.",English
how do you know?.,English
where did you get the news like how do you.,English
know if somebody tells a cool joke you can tell that's a good one.,English
that's a great joke so the phrase is that's a good one.,English
if you want to thank somebody you can say it's very kind of you thank you so much for doing that that's very kind of you it is very kind of you if somebody.,English
"was trying to help you, but couldn't reach the result you can say.",English
"thank you anyway it doesn't matter, but thank you anyway.",English
thank you for your effort.,English
"no thank you anyway, and another phrase that i use in my email sometimes when i haven't asked for a person.",English
i ask and then i say in the end.,English
"thank you in advance, which means that i really hope that you're gonna.",English
do it some thanking you in advance.,English
"thank you in advance if somebody made a mistake, and he's really upset about it.",English
you can just say no worries.,English
"don't worry no worries, which means don't worry about it.",English
it's fine.,English
no worries imagine you came home and there are all of your friends sitting on your couch.,English
and you're like what's going on in here like what are you doing here?.,English
what is going on if you didn't catch something or it didn't understand the person you can always ask did i get you right?.,English
and then go ahead and explain where you got did i get you right?.,English
if you ask somebody not to be upset not to cry you can say don't take it to heart.,English
don't take it to heart like seriously don't be so upset don't take it to heart.,English
another way to ask if you didn't catch a part of a phrase you can say i didn't catch the last word.,English
i'm sorry.,English
can you repeat it because i didn't catch the last word if he wants somebody to repeat the whole phrase again.,English
you can say sorry.,English
i wasn't listening because maybe you were busy.,English
"maybe you were talking on the phone and somebody was talking to you, and you're like.",English
oh my god.,English
sorry i wasn't listening.,English
can you repeat it?.,English
i'm sorry.,English
i wasn't listening another phrase that i use all the time.,English
it doesn't matter like don't worry if you drop your coffee all over me.,English
it's like it doesn't matter.,English
i'll be fine.,English
i'm going to laundry anyway.,English
it doesn't matter if you want to wish somebody luck.,English
and i always do that you can say fingers crossed and you cross the fingers like that.,English
fingers crossed.,English
another phrase that americans use is oh bad that explains it and.,English
"the situation is you didn't get something and then you get an extra effect, and you get it.",English
and you're like oh that that explains it that explains it.,English
another way to tell the person to not be upset is you can say things happen like it's okay.,English
things happen do not be upset if you don't have the name of a person you want to talk to him.,English
you can say sorry to bother you you know you see.,English
somebody's busy you can always say sorry to bother you and then you can go ahead and ask.,English
"sorry to bother you.if you are in the middle of something in somebody's asking you something you can say oh.you're in the middle of something and somebody somebody's asking you to do something you say, i'm sorry.",English
i'll be with you in a minute i'll be with you in and then you resume doing something and you say where were we.,English
like when did we stop where were we and you have to repeat it because what it's the sound that somebody some people mistake with .,English
so this is a great way to practice where were we again if you're in the middle of a conversation?,English
and you didn't get what the other person was saying you can say you were saying and with a question mark.,English
which means which prompts the person to repeat once again?,English
you were saying .if somebody got a job of his dreams of whatever you can say lucky you or somebody got into the university of their dreams like lucky you this is a way of congratulating the person lucky you or like just emphasizing that he's lucky lucky you another way to say that you're really angry is to say i freaked out like i was so angry i .freaked out this is super angry.,English
"oh, this is like almost crazy.",English
i freaked out another phrase that native speakers use is good for you and this could be both positive and negative when you say i got promoted and if they say good for you like congratulations and sometimes if you say like i'm leaving this place.,English
they're like good for you it would be better without you and this is a negative meaning so really listen to the intonation.,English
if something surprises you you can also say you gotta be kidding me like oh my god.,English
i cannot believe it you gotta be kidding me to tell somebody to smile and to be happy you can always say cheer up cheer up.,English
if you want somebody just sound like crying and complaining about something that is not happening you can say come i'm you can do it i?,English
come on.,English
you can do it you can pass the toefl you can pass the gmat you will get it come on.,English
"you can do it if somebody is doing really well, you can tell them keep up the good work keep up the good work like be as good as you are and keep up the good work continue being another phrase is colloquial, and this is what americans say.",English
that's lit which means that's amazing many americans said in california.,English
"oh that's lit and you probably heard it in songs that's lit if somebody is successful after failures, so you can say there you go i told you you're gonna make it there you go if somebody's asking you if you're tired and you want to say you're not tired at all you can say not a bit nah.",English
i want to continue i'm not tired not of it when somebody is asking you are you sure and you're pretty sure you can say there is no room for that?,English
there is no room for doubt in america if you want to sms somebody or send them a message you say text to text so i'll text you means i will send you a message through whatsapp or a telegram or messenger of whatever using i'll text you again to cheer somebody up to tell them to not be upset you can say it's not worth it like why are you crying?,English
it's not worth it.,English
you're so much better than the problem you are crying about it's not worth your tears.,English
it's not worth it i personally love the phrase you rock which means you're amazing.,English
oh my god.,English
you rock you rock?,English
"no, you've done an amazing job.",English
"you rock if somebody's not working really well, and you want them to work harder you can say you should go an extra mile which means like work harder you should go an extra mile .",English
another way to say the very same thing you can say step up your game like work harder work better step up your game.,English
if somebody's crying and doesn't want it.,English
it sinks you say pull yourself together like literally take yourself and pull yourself together stop working stop crying pull yourself together.,English
hey calm down yourself together another phrase that .,English
i love you sold me because sometimes people describe their trip or somebody they bought and they describe it is so well.,English
"and they're like i want to buy the same thing and i tell them you sold it you sold me i wouldn't buy this alright, you sold me if you're not interested in the conversation.",English
you're like sitting you can say i could not care less this is so boring.,English
i'm not interested.,English
i couldn't care less if somebody's asking you something and this is a really easy decision for you like somebody tells you take my 1 million dollars and you say this is a no-brainer.,English
i'll take it.,English
this is a no-brainer means it's a really easy decision for you if you've done something wrong and you admit it you can say i screwed up yes guys.,English
i know.,English
i'm sorry.,English
i screwed up.,English
this is my mistake.,English
i screwed up i screwed it up if you want somebody to work instead of me you can say.,English
can you cover me like can you work instead of me while i'm seeing my friend.,English
can you cover me it's time to leave and guys i'd better be going which means i should go already.,English
it's you know.,English
it's actually 1 9 p.m.. right now.,English
i'd better be going another way to say goodbye.,English
"i can say take care, which means take care of yourself.",English
i'll see you later.,English
take care.,English
"i don't know what day is it when you're watching this video, but if it's friday for example weekend.",English
you can say thank heavens is friday or think heavens said saturday weekend discovery.,English
i'm so happy this was it guys 50 phrases in english let me know if this was helpful by liking this video and commenting below if you know any more cool phrases.,English
that would be great there's a red button over there somewhere.,English
hello and welcome.,English
in this video i will give you 100 common and very useful sentences that you can use in conversation.,English
when you hear a sentence practice saying it after me.,English
try to copy my pronunciation exactly including the tone of voice that i use.,English
alright let's begin.,English
basic greetings how's it going?,English
how are things?,English
what's up?,English
nice to meet you.,English
"long time, no see.",English
how have you been?,English
"great, thanks.",English
how about you?,English
not much.,English
the usual.,English
i've got to get going.,English
it was a pleasure meeting you see you later.,English
stay in touch.,English
asking for information.,English
could you tell me what this word means?,English
would you happen to know where the library is?,English
hesitating.,English
that's a good question.,English
let me see.,English
let me think for a moment.,English
asking for repetition.,English
excuse me?,English
"sorry, i didn't catch that.",English
would you mind repeating that?,English
"can you speak a little more slowly, please?",English
"saying ""i don't know"".",English
i'm afraid i have no idea.,English
"can't help you there, sorry.",English
beats me.,English
opinions.,English
what do you think about that?,English
what are your views on this?,English
i think that's a good idea.,English
i honestly don't think it's going to work.,English
"as far as i'm concerned, this is the best restaurant in town.",English
avoiding a question.,English
i don't have an opinion on the matter.,English
let me get back to you on that.,English
i'm not at liberty to say.,English
agreeing and disagreeing.,English
i couldn't agree more.,English
you're absolutely right.,English
i agree with you 100%.,English
you hit the nail on the head.,English
i'm not sure i agree.,English
i'm afraid i disagree.,English
i think you're mistaken.,English
interrupting politely.,English
sorry to interrupt you.,English
can i stop you there for a moment?,English
do you mind if i jump in here?,English
go ahead.,English
sure go on.,English
let me finish.,English
hold on for a moment.,English
suggestions.,English
what do you say we go to the movies?,English
how about having pizza for dinner tonight?,English
that would be great.,English
sounds good to me.,English
i'm not sure about that.,English
"no, i don't think so.",English
making plans.,English
what are you doing tonight?,English
got any plans for tomorrow?,English
are you free next saturday?,English
do you want to do something this weekend?,English
"sure, what do you have in mind?",English
"i'm free all weekend, let's do something.",English
"no, sorry, i've already mad some plans.",English
i'm kind of busy tomorrow.,English
i'd love to do something but i can't.,English
permission.,English
do you mind if i use your cell phone?,English
would it be okay if i took the day off tomorrow?,English
"yes, please do sure, go ahead.",English
"no, not at all.",English
"unfortunately, i have to say no.",English
i'd rather you didn't.,English
i'm afraid i do.,English
making requests.,English
"could you pass me the salt, please?",English
would you mind lending me some money?,English
i was wondering if yo could help me with this.,English
"sure, no problem.",English
"yeah, of course.",English
i'd be glad to help.,English
"sorry, i can't right now.",English
i'm afraid i can't.,English
making offers.,English
can i get you a glass of water?,English
how about some ice cream?,English
would you like me to give yo a ride home?,English
"yes, please.",English
"that would be great, thanks.",English
i'm ok but thanks for offering.,English
"no, i'm good, thanks.",English
thanking people.,English
thanks a million.,English
cheers i really appreciate it.,English
that's very kind of you.,English
i can't thank you enough.,English
it's nothing.,English
don't mention it.,English
any time.,English
my pleasure.,English
asking someone to wait.,English
"can you hold on  moment, please?",English
hang on one second.,English
bear with me just a moment.,English
i'll be right with you.,English
apologizing.,English
i'm really sorry about that.,English
please accept my apologies.,English
don't worry about it.,English
no worries.,English
"alright, if you want more lessons on common sentences and phrases let me know in the comments section below.",English
also if you liked this video give it a thumbs up by hitting the like button and remember to subscribe to this channel by clicking the subscribe button to get my latest lessons right here on youtube.,English
happy learning and i will see you in another lesson soon.,English
the golden bread once upon a time in a tiny village there lived a woman named marion.,English
with her only daughter narcisa marion was extremely humble and sweet narcisa however was completely the opposite you see she was beautiful beyond words she was like a living.,English
doll and the most amusing part is she loved herself to no ends narcisa would you.,English
help me bake the bread huh no way mom the flour maids all my bright and sparkly eyes.,English
narcisa would you help me plant these seeds what why would i do that what have i got all that dirt on my lovely fingers worse what if it went onto my face well that was the problem with narcisa.,English
she thought herself too great to do any work many suitors came to ask for narcissus hand in marriage.,English
since her beauty was known far and wide but she rejected them all very rudely why did you send those men away yesterday they seemed nice you can't be serious mom one of them.,English
had such small eyes almost like a bird's and the other had a huge nose i wouldn't want to be near him.,English
when he sneezed oh oh and the last stop no i don't want to hear any more all i could see was that those men were really nice my dear you must know that beauty.,English
isn't everything mother you have to realize i deserve someone like a prince or a knight.,English
oh dear one night when she was sleeping her mother sat at her side watching her.,English
my dear child you are so beautiful and lovely but you do not care about anything other than your beauty.,English
at that moment narcissus started to laugh in her sleep her mother was extremely surprised how nice she must be having a really funny dream the next morning when narcissus.,English
l woke up she was all smiles and giggles here sweetheart tell me what did you dream about.,English
last night well mom it was such an amazing dream you know there was this prince who came up to me.,English
and said that he wanted to marry me he had come in a golden carriage and he was dressed from top to bottom and gold as well what a silly dream.,English
and you know the best part of it was when i was in my wedding dress which was of gold too of course everyone was staring at only me narcisa there is nothing amazing about that dream.,English
it was a very egotistical dream mom you don't know what you're saying that dream has made me realize that i need food much grander than the type i eat here at home bread made of gold.,English
just think of that poor narcissus mother was so worried about her daughter and how.,English
